Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1758853024,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758853025,2,,Aggregated,0.000000,0.000000,15,42,42,97,97,97,97,97,97,97,97,5,0,15,34.79687998769805,9.542099956888705,96.54699999373406,292.8
1758853026,5,,Aggregated,0.000000,0.000000,10,13,14,15,42,97,97,97,97,97,97,13,0,10,19.1359538361072,7.389899983536452,96.54699999373406,316.84615384615387
1758853027,5,,Aggregated,0.000000,0.000000,8,9,12,13,15,42,97,97,97,97,97,22,0,8,14.312122720928693,5.937399982940406,96.54699999373406,400.27272727272725
1758853028,5,,Aggregated,4.500000,0.000000,8,9,9,12,15,42,97,97,97,97,97,29,0,8,12.63289999393425,5.937399982940406,96.54699999373406,392.7931034482759
1758853029,5,,Aggregated,4.666667,0.000000,8,8,9,9,14,42,97,97,97,97,97,36,0,8,11.439847219864735,4.729499982204288,96.54699999373406,388.22222222222223
1758853030,5,,Aggregated,5.500000,0.000000,8,8,9,9,14,42,97,97,97,97,97,40,0,7,10.999129997799173,4.729499982204288,96.54699999373406,429.975
1758853032,5,,Aggregated,5.800000,0.000000,7,8,9,10,15,26,97,97,97,97,97,45,0,7,11.265926664539924,4.729499982204288,96.54699999373406,389.97777777777776
1758853033,5,,Aggregated,6.000000,0.000000,8,9,12,13,21,26,42,97,97,97,97,55,0,8,11.612463636662472,4.729499982204288,96.54699999373406,390.1454545454545
1758853034,5,,Aggregated,5.714286,0.000000,8,9,11,13,15,22,42,97,97,97,97,63,0,8,11.299119047295775,4.729499982204288,96.54699999373406,384.85714285714283
1758853035,5,,Aggregated,5.625000,0.000000,8,10,14,15,26,76,99,130,130,130,130,71,0,8,16.47535070340792,4.729499982204288,131.54209998901933,366.943661971831
1758853036,5,,Aggregated,6.300000,0.000000,9,11,14,17,26,76,99,130,130,130,130,79,0,9,16.166341771029785,4.729499982204288,131.54209998901933,388.2278481012658
1758853037,5,,Aggregated,6.300000,0.000000,9,10,14,16,22,70,99,130,130,130,130,84,0,9,15.745528569650126,4.729499982204288,131.54209998901933,382.54761904761904
1758853038,5,,Aggregated,6.900000,0.000000,8,9,13,14,22,70,99,130,130,130,130,96,0,8,14.663834374005091,4.267400014214218,131.54209998901933,387.125
1758853039,5,,Aggregated,6.900000,0.000000,8,9,12,14,21,42,97,99,130,130,130,101,0,8,14.341023760976842,4.267400014214218,131.54209998901933,419.990099009901
1758853040,5,,Aggregated,7.000000,0.000000,8,9,12,14,21,42,97,99,130,130,130,106,0,8,13.950946224624959,4.267400014214218,131.54209998901933,449.75471698113205
1758853041,5,,Aggregated,7.200000,0.000000,8,9,10,14,21,42,97,99,130,130,130,113,0,8,13.454770795543538,4.267400014214218,131.54209998901933,453.4513274336283
1758853042,5,,Aggregated,7.000000,0.000000,8,9,10,13,20,32,97,99,130,130,130,121,0,8,12.96402561942054,4.267400014214218,131.54209998901933,461.6280991735537
1758853043,5,,Aggregated,7.000000,0.000000,8,9,10,12,20,32,97,99,130,130,130,127,0,8,12.682737007564828,4.267400014214218,131.54209998901933,459.62204724409446
1758853044,5,,Aggregated,7.500000,0.000000,8,9,10,12,20,42,97,99,130,130,130,137,0,8,12.793924817118631,4.267400014214218,131.54209998901933,454.6058394160584
1758853045,5,,Aggregated,7.500000,0.000000,8,9,11,14,22,63,97,99,130,130,130,143,0,8,14.167102797028537,4.267400014214218,131.54209998901933,446.2587412587413
1758853046,5,,Aggregated,7.300000,0.000000,8,9,10,14,22,63,97,99,130,130,130,153,0,8,13.72747647148417,4.267400014214218,131.54209998901933,436.2287581699346
1758853047,5,,Aggregated,7.300000,0.000000,8,9,10,13,22,63,97,99,130,130,130,160,0,8,13.426745000469964,4.267400014214218,131.54209998901933,428.0
1758853048,5,,Aggregated,7.200000,0.000000,8,9,10,13,21,52,97,99,130,130,130,165,0,8,13.22160424297732,4.267400014214218,131.54209998901933,429.04242424242426
1758853049,5,,Aggregated,7.400000,0.000000,8,9,9,12,21,52,97,99,130,130,130,172,0,8,12.940697674504156,4.267400014214218,131.54209998901933,426.61046511627904
1758853050,5,,Aggregated,7.300000,0.000000,8,9,10,13,22,70,97,130,150,150,150,178,0,8,14.216088763767791,4.267400014214218,148.09329999843612,426.35955056179773
